year,temp
2353,-1.49208113921
2354,-1.49607761158
2355,-1.49942643129
2356,-1.50212759834
2357,-1.50418111273
2358,-1.50558697445
2359,-1.50634518352
2360,-1.50645573992
2361,-1.50591864366
2362,-1.50473389473
2363,-1.50290149315
2364,-1.5004214389
2365,-1.49729373199
2366,-1.49351837242
2367,-1.48909536018
2368,-1.48402469528
2369,-1.47830637773
2370,-1.47194040751
2371,-1.46492678462
2372,-1.45726550908
2373,-1.44895658087
2374,-1.44
2375,-1.43039576647
2376,-1.42014388027
2377,-1.40924434142
2378,-1.3976971499
2379,-1.38550230572
2380,-1.37265980888
2381,-1.35916965937
2382,-1.34503185721
2383,-1.33024640238
2384,-1.31481329489
2385,-1.29873253473
2386,-1.28200412192
2387,-1.26462805644
2388,-1.2466043383
2389,-1.2279329675
2390,-1.20861394404
2391,-1.18864726791
2392,-1.16803293912
2393,-1.14677095767
2394,-1.12486132356
2395,-1.10230403678
2396,-1.07909909735
2397,-1.05591854181
2398,-1.03343440672
2399,-1.01164669208
2400,-0.990555397897
2401,-0.970160524166
2402,-0.950462070888
2403,-0.931460038063
2404,-0.91315442569
2405,-0.89554523377
2406,-0.878632462302
2407,-0.862416111287
2408,-0.846896180725
2409,-0.832072670616
2410,-0.817945580959
2411,-0.804514911754
2412,-0.791780663003
2413,-0.779742834704
2414,-0.768401426858
2415,-0.757756439464
2416,-0.747807872524
2417,-0.738555726035
2418,-0.73
2419,-0.722140694417
2420,-0.714977809287
2421,-0.70851134461
2422,-0.702741300385
2423,-0.697667676613
2424,-0.693290473293
2425,-0.689609690426
2426,-0.686625328012
2427,-0.684337386051
2428,-0.682745864542
2429,-0.681850763486
2430,-0.681652082882
2431,-0.682149822731
2432,-0.683343983033
2433,-0.685234563788
2434,-0.687821564995
2435,-0.691104986655
2436,-0.695084828767
2437,-0.699761091332
2438,-0.70513377435
2439,-0.711202877821
2440,-0.717130471641
2441,-0.722078625709
2442,-0.726047340024
2443,-0.729036614587
2444,-0.731046449397
2445,-0.732076844454
2446,-0.732127799759
2447,-0.731199315311
2448,-0.729291391111
2449,-0.726404027158
2450,-0.722537223452
2451,-0.717690979994
2452,-0.711865296783
2453,-0.705060173819
2454,-0.697275611103
2455,-0.688511608634
2456,-0.678768166412
2457,-0.668045284438
2458,-0.656342962711
2459,-0.643661201232
2460,-0.63
2461,-0.615359359015
2462,-0.599739278278
2463,-0.583139757788
2464,-0.565560797546
2465,-0.54700239755
2466,-0.527464557803
2467,-0.506947278302
2468,-0.485450559049
2469,-0.462974400044
2470,-0.439518801285
2471,-0.415083762774
2472,-0.389669284511
2473,-0.363275366495
2474,-0.335902008726
2475,-0.307549211204
2476,-0.27821697393
2477,-0.247905296904
2478,-0.216614180124
2479,-0.184343623592
2480,-0.151093627308
2481,-0.117145813446
2482,-0.084189915063
2483,-0.0525075543333
2484,-0.0220987312575
2485,0.00703655416447
2486,0.0348983019327
2487,0.0614865120471
2488,0.0868011845077
2489,0.110842319315
2490,0.133609916468
2491,0.155103975967
2492,0.175324497812
2493,0.194271482004
2494,0.211944928542
2495,0.228344837426
2496,0.243471208656
2497,0.257324042232
2498,0.269903338155
2499,0.281209096424
2500,0.291241317039
2501,0.3
2502,0.307485145307
2503,0.313696752961
2504,0.318634822961
2505,0.322299355307
2506,0.324690349999
2507,0.325807807038
2508,0.325651726422
2509,0.324222108153
2510,0.32151895223
2511,0.317542258653
2512,0.312292027423
2513,0.305768258538
2514,0.297970952
2515,0.288900107808
2516,0.278555725963
2517,0.266937806463
2518,0.25404634931
2519,0.239881354503
2520,0.224442822042
2521,0.207730751927
2522,0.18984473364
2523,0.17138230407
2524,0.152443052699
2525,0.133026979527
2526,0.113134084553
2527,0.092764367778
2528,0.0719178292018
2529,0.0505944688243
2530,0.0287942866455
2531,0.00651728266542
2532,-0.0162365431159
2533,-0.0394671906986
2534,-0.0631746600825
2535,-0.0873589512677
2536,-0.112020064254
2537,-0.137157999042
2538,-0.162772755631
2539,-0.188864334021
2540,-0.215432734213
2541,-0.242477956206
2542,-0.27
2543,-0.297998865595
2544,-0.326474552992
2545,-0.35542706219
2546,-0.38485639319
2547,-0.41476254599
2548,-0.445145520592
2549,-0.476005316995
2550,-0.5073419352
2551,-0.539155375205
2552,-0.571445637012
2553,-0.604212720621
2554,-0.63745662603
